# Simple Perfect	Compound Perfect	Contingent	Compound Imperfect	Jussive	Imperative	Gerund	Infinitive	Participle	Translation	Verb Type
ተመሰገነ	ተመስግኗል	ይመስገን	ይመሰገናል	ይመሰገን	ተመስገን	ተመስግኖ	መመስገን	ተመስጋኝ	be praised	p
ተምበረከከ	ተምበርክኳል	ይምበርከክ	ይምበረከካል	ይምበርከክ	ተምበርከክ	ተምበርክኮ	መምበርከክ	ተምበርካኪ	kneel	i
ተመታ	ተመትቷል	ይመታ	ይመታል	ይመታ	ተመታ	ተመትቶ	መመታት	ተመች	be struck	
ተማታ	ተማትቷል	ይማታ	ይማታል	ይማታ	ተማታ	ተማትቶ	መማታት	ተማች	come to blows	i
ተመቸ	ተመችቷል	ይመች	ይመቻል	ይመች		ተመችቶ	መመቸት	ተመች	be suitable	i
ታመነ 	ታምኗል	ይታመን	ይታመናል	ይታመን 	ታመን	ታምኖ	መታመን	ታማኝ	be believed, believe	p,t
ተመነዘረ	ተመንዝሯል	ይመነዘር	ይመነዘራል	ይመንዘር		ተመንዝሮ	መመንዘር	ተመንዛሪ	be changed	p
ተመኘ 2nd-ኘህ	ተመኝቷል	ይመኝ	ይመኛል	ይመኝ	ተመኝ	ተመኝቶ	መመኘት	ተመኝ	long for	t
ተማከረ	ተማክሯል	ይማከር 	ይማከራል	ይማከር	ተማከር	ተማክሮ	መማከር	ተማከሪ	deliberate	i
ተሞከረ	ተሞክሯል	ይሞከር	ይሞከራል	ይሞከር		ተሞክሮ 	መሞከር	ተሞካሪ	be tried	p
ተመዘነ	ተመዝኗል	ይመዘን	ይመዘናል	ይመዘን	ተመዘን	ተመዝኖ	መመዘን	ተመዛኝ	weigh, be weighed	i,p
