# Simple Perfect	Compound Imperfect	Gerund	Contingent	Infinitive	Participle	Gloss	Other Verb Forms	Theoretical Root	Equivalence	Part of Speech	Verb Class
ሄደ	ይሄዳል	ሄዶ	ይሂድ	መሄድ	ሂያጅ	go	አ	ሄʸደ		i	8y
ሆመጠጠ	ይሆመጥጣል	ሆምጥጦ	ይሆምጥጥ	መሆምጠጥ	ሆምጣጣ	be acid, sour			ኮመጠጠ		9b
ሆነ	ይሆናል	ሆኖ	ይሁን	መሆን	ኋኝ	be, become				i	8w
ለመለመ	ይለመልማል	ለምልሞ	ይለምልም	መለምለም	ለምለሚ	flourish	አ			i	9
ለመነ	ይለምናል	ለምኖ	ይለምን	መለመን	ለማኝ	beg	ተ	ለመ፟ነ		t	2
ለመደ	ይለምዳል	ለምዶ	ይልመድ	መልመድ	ለማጅ	get used to	አ, ተ			t	1
ለመጠ	ይለምጣል	ለምጦ	ይለምጥ	መለመጥ	ለማጭ	become a leper	አስ			i	1
ለመጠ	ይለምጣል	ለምጦ	ይለምጥ	መለመጥ	ለማጭ	bend, polish	ተ	ለመ፟ጠ		t	2
ለማ	ይለማል	ለምቶ	ይልማ	መልማት	ለሚ	flourish	አ	ለማህ		i	3
ለሰለሰ	ይለሰልሳል	ለስልሶ	ይለስልስ	መለስለስ	ለስላሳ	be soft, smooth	አ			i	9
ለሰነ	ይለስናል	ለስኖ	ይለስን	መለሰን	ለሳኝ	plaster, coax	ተ	ለሰ፟ነ		t	2
ለቀለቀ	ይለቀልቃል	ለቅልቆ	ይለቅልቅ	መለቅለቅ	ለቅላቂ	rinse, stain	ተ			t	9
ለቀመ	ይለቅማል	ለቅሞ	ይልቀም	መልቀም	ለቃሚ	glean	አ, ተ			t	1
ለቀቀ	ይለቅቃል	ለቆ	ይልቀቅ	መልቀቅ	ለቃቂ	let go, abandon, relax	ተ			t	1f
ለበለበ	ይለበልባል	ለብልቦ	ይለብልብ	መለብለብ	ለብላቢ	singe, scorch	ተ			t	9
ለበሰ	ይለብሳል	ለብሶ	ይልበስ	መልበስ	ለባሽ	wear, dress	አ, ተ			t	1
ለበበ	ይለብባል	ለብቦ	ይለብብ	መለበብ	ለባቢ	put halter on	ተ	ለበ፟በ		t	2f
ለበደ	ይለብዳል	ለብዶ	ይለብድ	መለበድ	ለባጅ	sew a strip	ተ	ለበ፟ደ		t	2
ለተመ	ይለትማል	ለትሞ	ይለትም	መለተም	ለታሚ	butt, quarrel	ተ	ለተ፟መ		t	2
ለከከ	ይላክካል	ለክኮ	ይለክክ	መለከክ	ለካኪ	anoint, smear	ተ, #	ለህከከ		i	1hf
ለከፈ	ይለከፋል	ለክፎ	ይልከፍ	መልከፍ	ለካፊ	infect; sniff	ተ			t	1
ለካ	ይለካል	ለክቶ	ይለካ	መለካት	ለኪ	measure, adjust	ተ	ለካ፟ህ		t	4
ለኮሰ	ይለኩሳል	ለኩሶ	ይለኩስ	መለኮስ	ለኳሽ	ignite	ተ	ለኮ፟ሰ		t	2c
ለወሰ	ይለውሳል	ለውሶ	ይለውስ	መለወስ	ለዋሽ	knead	ተ	ለወ፟ሰ		t	2
ለወጠ	ይለውጣል	ለውጦ	ይለውጥ	መለወጥ	ለዋጭ	change, substitute	ተ	ለወ፟ጠ		t	2
ለዘበ	ይለዝባል	ለዝቦ	ይለዝብ	መለዘብ	ልዝብ	be damp	አ	ለዘ፟በ		i	2
ለዘዘ	ይለዝዛል	ለዞ	ይልዘዝ	መልዘዝ	ለዛዛ	deliquesce	አ			i	1f
ለየ	ይለያል	ለይቶ	ይለይ	መለየት	ለዪ	separate, divide	ተ	ለየ፟ህ		t	6
ለገመ	ይለግማል	ለግሞ	ይለግም	መለገም	ለጋሚ	be obstinate	አስ	ለገ፟መ		i	2
ለገሰ	ይለግሳል	ለግሶ	ይለግስ	መለገስ	ለጋሽ	be generous	ተ	ለገ፟ሰ		t, (imp.)	2
ለጋ	ይለጋል	ለግቶ	ይለጋ	መለጋት	ለጊ	hit against something	ተ	ለጋ፟ህ		t	4
ለጎመ	ይለጉማል	ለጉሞ	ይለጉም	መለጎም	ለጓሚ	bridle, cover drum	ተ	ለጎ፟መ		t	2c
ለጠጠ	ይለጥጣል	ለጥጦ	ይለጥጥ	መለጠጥ	ለጣጭ	stretch, distend	ተ	ለጠ፟ጠ		t	2f
ለጠፈ	ይለጥፋል	ለጥፎ	ይለጥፍ	መለጠፍ	ለጣፊ	paste, affix	ተ	ለጠ፟ፈ		t	2
ለፈለፈ	ይለፈልፋል	ለፍልፎ	ይለፍልፍ	መለፍለፍ	ለፍላፊ	chatter	አስ			i	9
ለፋ	ይለፋል	ለፍቶ	ይልፋ	መልፋት	ለፊ	strive, tan (skins)	አ, ተ	ለፋህ		t	3
ላላ	ይላላል	ላልቶ	ያላላ	ማላላት	ላይ	be loose, slack	አ	ላህላህ		i	3h
ላላ	ይላላል	ላልቶ	ይላላ	መላላት	ልል	not to have	ተ	ላʸላህ		denom. 	5
ላመ	ይልማል	ልሞ	ይላም	መላም	ላሚ	become finely ground	አ	ላህመ		i	7
ላሰ	ይልሳል	ልሶ	ይላስ	መላስ	ላሺ	lick	አ, ተ	ላህሰ		t	7
ላሸ	ይላሻል	ላሽቶ	ይላሽ	መላሸት	ላሺ	relax, lose force	አ	ላህሸ፟ህ		i	6h
ላሸቀ	ይላሽቃል	ላሽቆ	ይላሽቅ	መላሸቅ	ላሻቂ	be too moist (grain)	አ	ላህሸቀ		i	1h
ላቀ	ይልቃል	ልቆ	ይላቅ	መላቅ	ላቂ	excel, surpass	አ	ላህቀ		i	7
ላበ	ያልባል	አልቦ	ያልብ	ማላብ	ላባም	sweat	አ	*ላህበ		i	7
ላከ	ይልካል	ልኮ	ይላክ	መላክ	ላኪ	send	ተ	ላህከ		t	7
ላገ	ይልጋል	ልጎ	ይላግ	መላግ	ላጊ	plane lightly	ተ	ላህገ		t	7
ላጠ	ይልጣል	ልጦ	ይላጥ	መላጥ	ላጪ	peel	ተ	ላህጠ		t	7
ላጨ	ይላጫል	ላጭቶ	ይላጭ	መላጨት 	ላጪ	shave; dupe	ተ	ላህጨ፟ህ		t 	6h
ላፈ	ይልፋል	ልፎ	ይላፍ	መላፍ	ላፊ	strip off	ተ	ላህፈ		t	7
መለመለ	ይመለምላል	መልምሎ	ይመልምል	መመልመል	መልማይ	select, pluck	ተ			t	9
መለሰ	ይመልሳል	መልሶ	ይመልስ	መመለስ	መላሽ	return	ተ	መለ፟ሰ		t	2
መለጠ	ይመልጣል	መልጦ	ይምለጥ	መምለጥ	መላጣ	scalp	ተ			t	1
መረመረ	ይመረምራል	መርምሮ	ይመርምር	መመርመር	መርማሪ	investigate, examine	ተ			t	9
መረረ	ይመረራል	መሮ	ይምረር	መምረር	መራራ	be bitter	አ, ተ			i	1f
መረቀ	ይመርቃል	መርቆ	ይመርቅ	መመረቅ	መራቂ	give extra, bless	ተ	መረ፟ቀ		t	2
መረዘ	ይመርዛል	መርዞ	ይመርዝ	መመረዝ	መራዥ	poison	ተ	መረ፟ዘ		t	2
መረገ	ይመረጋል	ምርጎ	ይመረግ	መመረግ	መራጊ	plaster	ተ			t	1
መረጠ	ይመረጣል	መርጦ	ይመረጥ	መምረጥ	ምርጫ	choose	አ, ተ			t	1
መራ	ይመራል	መርቶ	ይምራ	መምራት	መሪ	lead, guide	ተ	መራህ		t	3
መሰለ	ይመሰላል	መስሎ	ይምሰል	መምሰል	ምስል	seem				i	1
መሰለ	ይመስላል	መስሎ	ይምሰል	መምሰል	መሳይ	make a model	ተ	መሰ፟ለ		t	2
መሰረተ	ይመሰርታል	መስርቶ	ይመስርት	መመስረት	መስራች	found, base	ተ			t	9
መሰነ	ይማስናል	ማስኖ	ይማስን	መማሰን	ማሳኝ	lose strength	አ	መህሰነ		i	1h
መሰነ	ይመስናል	መስኖ	ይምሰን	መምሰን	መሲና	be sterile	አስ	መሰ፟ነ		i	2
መሰከረ	ይመሰክራል	መስክሮ	ይመስክር	መመስከር	መስካሪ	witness, testify	አስ			i	9
መሰጠ	ይመስጣል	መስጦ	ይመስጥ	መመሰጥ	መሳጭ	enchant	ተ	መሰ፟ጠ		i	2
መሳጠረ	ይመሳጠራል	ተመሳጥሮ	ይመሳጠር	መመሳጠር	ተመሳጣሪ	plot secretly				denom	9
መሸ	ይመሻል	መሽቶ	ይምሽ	መምሸት	መሺ	become evening	a	መሸህ		i	5
መሸገ	ይመሽጋል	መሽጎ	ይመሽግ	መመሸግ	መሻጊ	fortify	ተ	መሸ፟ገ		t	2
መተረ	ይመትራል	መትሮ	ይመትር	መመተር	መታሪ	cut measure	ተ	መተ፟ረ		t (denom. Fr.)	2
መታ	ይመታል	መትቶ	ይምታ	መምታት	መቺ	beat, hit, strike	ተ	መታህ		t	3
መነመነ	ይመነምናል	መንምኖ	ይመንምን	መመንመን	መንማኝ	be emaciated	አ			i	9
መነሸ	ይመንሻል	መንሽቶ	ይመንሽ	መመንሸት	አመንሺ	winnow	አ	መነሸህ		t	11
መነቀረ	ይመነቅራል	መንቅሮ	ይመንቅር	መመንቀር	መንቃሪ	dig, plow up	ተ			t	9
መነተፈ	ይመነትፋል	መንትፎ	ይመንትፍ	መመንተፍ	መንታፊ	snatch	ተ			t	9
መነነ	ይመንናን	መንኖ	ይመንን	መመነን	መናኝ	retire from world	አስ	መነ፟ነ		i	2f
መነኮሰ	ይመነኩሳል	መንኩሶ	ይመንኩስ	መመንኮስ	መንኳሽ	become monk	አስ			i	9d
መነዘረ	ይመነዝራል	መንዝሮ	ይመንዝር	መመንዘር	መንዛሪ	cash, change money	ተ			t	9
መነዠገ	ያመነዥጋል	አመንዥጎ	ያመንዥግ	ማመንዥግ	አመንዣጊ	ruminate (animal)	አ			i	9
መነጠረ	ይመነጥራል	መንጥሮ	ይመንጥር	መመንጥር	መንጣሪ	clear, deforest	ተ			t	9
መነጨ	ይመነጫል	መንጭቶ	ይመንጭ	መመንጨት	ምንጭ	spring (water)	አ	መነጨህ		i	11
መነጨቀ	ይመነጭቃል	መንጭቆ	ይመንጭቅ	መመንጨቅ	መንጫቂ	jerk, snatch	ተ		መነጠቀ	t	9
መከረ	ይመክራል	መክሮ	ይምከር	መምከር	መካሪ	advise	ተ			t	1
መከተ	ይመክታል	መክቶ	ይመክት	መመከት	መካች	guard	አስ	መከ፟ተ		i	2
መከነ	ይመክናል	መክኖ	ይምከን	መምከን	መካን	be sterile	አስ			i	1
መዘበረ	ይመዘብራል	መዝብሮ	ይመዝብር	መመዝበር	መዝባሪ	ravage, devastate	ተ			t	9
መዘነ	ይመዝናል	መዝኖ	ይመዝን	መመዘን	መዛኝ	balance , weigh	ተ	መዘ፟ነ		t	2
መዘዘ	ይመዘዛል	መዞ	ይምዘዝ	መምዘዝ	መዛዢ	draw sword	ተ			t	1f
መዘገበ	ይመዘግባል	መዝግቦ	ይመዝግብ	መመዝገብ	መዝጋቢ	record, register	ተ			t	9
መደበ	ይመድባል	መድቦ	ይመድብ	መመደብ	መዳቢ	put in place	ተ	መደ፟በ		t	2
መደነ	ይመድናል	መድኖ	ይመድን	መመደን	ምድን	civilize	ተ	መደ፟ነ		t	2
መገለ	ይመግላል	መግሎ	ይምገል	መምገል	መጋይ	suppurate	አ			i	1
መገመገ	ይመጋምጋል	መግምጎ	ይመግምግ	መመግመግ	መግማጊ	suck	ተ			t	9
መገበ	ይመግባል	መግቦ	ይመግብ	መመገብ	መጋቢ	feed	ተ	መገ፟በ		t	2
መገዘ	ይመግዛል	መግዞ	ይመግዝ	መመገዝ	መጋዥ	saw	ተ	መገ፟ዘ		t	2
መጠመጠ	ይመጠምጣል	መጥምጦ	ይመጥምጥ	መመጥመጥ	መጥማጭ	round lips, suck milk	ተ			t	9
መጠቀ	ይመጠቃል	መጥቆ	ይምጠቅ	መመጠቅ	ምጥቅ	propel	አ			i	1
መጠነ	ይመጥናል	መጥኖ	ይመጥን	መመጠን	መጣኝ	measure out	ተ	መጠ፟ነ		t	2
መጠጠ	ይመጥጣል	መጦ	ይምጠጥ	መምጠጥ	መጣጪ	absorb	አ			t	1f
መጣ	ይመጣል	መጥቶ	ይምጣ	መምጣት	መጪ	come		መጣህ	መጻ		3
ማለ	ይምላል	ምሎ	ይማል	መማል	ማይ	swear oath	አስ	ማህለ		i, cog. obj	7
ማለደ	ይማልዳል	ማልዶ	ይማልድ	መማለድ	ማላጅ	arrive early	አስ	*ማህለደ		i	1h
ማረ	ይምራል	ምሮ	ይማር	መማር	መሀሪ	have mercy, forgive	ተ	ማህረ		t	7
ማረ	ይማራል	ተምሮ	ይማር	መማር	መምር	learn, study	ተ	*ማህረ		t	7
ማረከ	ይማርካል	ማርኮ	ይማርክ	መማረክ	ማራኪ	capture	ተ	ማህረከ		t	1h
ማሰ	ይምሳል	ምሶ	ይማስ	መማስ	ማሽ	dig	ተ	ማህሰ		t	7
ማቀቀ	ይማቅቃል	ማቅቆ	ይማቅቅ	መማቀቅ	ማቃቂ	languish in prison	አስ	ማህቀቀ		i	1hf
ማተበ	ያማትባል	አማትቦ	ያማትብ	ማማተብ	አማታቢ	cross oneself		ማህተበ			1h
ማገረ	ይማግራል	ማግሮ	ይማግር	መማገር	ማጋሪ	put in cross pieces	ተ	ማህገረ		t	1h
ማጠ	ያምጣል	አምጦ	ይማጥ	ማማጥ	አማጭ	suffer labor pains	አ	*ማህጠ		i	7
ሞለሞለ	ይሞለሙላል	ሞልሙሎ	ይሞልሙል	መሞልሞል	ሞልሟይ	roll dough	አ			i	9bd
ሞላ	ይሞላል	ሞልቶ	ይሙላ	መሙላት	ሞይ	fill	ተ	ሞላህ		t	3b
ሞላ	ይሞላል	ሞልቶ	ይሙላ	መሙላት	ሞይ	fill		ሞላህ	ሙላ		3
ሞረደ	ይሞርዳል	ሞርዶ	ይሞርድ	መሞረድ	ሞራጅ	file, rasp	ተ	ሞረ፟ደ		t	2b
ሞሸረ	ይሞሽራል	ሞሽሮ	ይሞሽር	መሞሸር	ሞሻሪ	dress as a bride	ተ	ሞሸ፟ረ		t	2b
ሞቀ	ይሞቃል	ሞቆ	ይሙቅ	መሞቅ	ሙቅ	be warm	አ			i	8w
ሞተ	ይሞታል	ሞቶ	ይሙት	መሞት	ሟች	die				i	8w
ሞከረ	ይሞክራል	ሞክሮ	ይሞክር	መሞከር	ሞካሪ	try	ተ	ሞከ፟ረ		t	2b
ሞከተ	ይሞክታል	ሞክቶ	ይሞክት	መሞከት	ሞካች	castrate	ተ	ሞከ፟ተ		i	2b
ሞገሰ	ያሞግሳል	አሞግሶ	ያሞግስ	ማሞገስ	አሞጋሽ	glorify	አ, ተ	*ሞገ፟ሰ			2b
ሞገተ	ይሞግታል	ሞግቶ	ይሞግት	መሞገት	ሞጋች	litigate, quarrel	አስ	ሞገ፟ተ		i	2b
ሞጨለፈ	ይሞጨልፋል	ሞጭልፎ	ይሞጭልፍ	መሞጭለፍ	ሞጭላፊ	snatch away	ተ			t	9b
ሟሟ	ይሟሟል	ሟምቶ	ይሟሟ	መሟሟት	ሟሚ	melt, fuse	አ	ሟህሟህ		i	3h
ሟሸሸ	ይሟሽሻል	ሟሽሾ	ይሟሽሽ	መሟሸሽ	ሟሻሽ	rub, grease	አስ	ሟህሸሸ		t	1hf
ሟጨ	ይሟጭጫል	ሟጭጮ	ይሟጭጭ	መሟጨጭ	ሟጫጪ	scour	ተ	ሟህጨ፟ህ		t 	6h
ሟጨረ	ይሟጭራል	ሟጭሮ	ይሟጭር	መሟጨር	ሟጫሪ	scratch	ተ	ሟህጨረ		t	1h
ረመሰ	ይተራመሳል	ተተራምሶ	ይተራመስ	መተራመስ	ተተራማሽ	mix together				t	1
ረሳ	ይረሳል	ረስቶ	ይርሳ	መርሳት	ረሺ	forget	ተ	ረሳህ		t	3
ረሸነ	ይረሽናል	ረሽኖ	ይረሽን	መረሸን	ረሽ	gun down	ተ	ረሸ፟ነ		t	2
ረቀቀ	ይረቅቃል	ረቆ	ይርቀቅ	ማርቀቅ	ረቂቅ	be fine, thin	አ			i	1f
ረበረበ	ይረበርባል	ረብርቦ	ይረብርብ	መረብረብ	ረብራቢ	pile up	ተ			t	9
ረበሸ	ይረብሻል	ረብሾ	ይረብሽ	መረበሽ	ረባሽ	disturb	ተ	ረበ፟ሸ		t	2
ረባ	ይረባል	ረብቶ	ይርባ	መርባት	ረቢ	be useful	አ	ረባህ		i	3
ረታ	ይረታል	ረቶ	ይርታ	መርታት	ረቺ	win, overcome	ተ	ረታህ		t	3
ረከሰ	ይረከሳል	ረክሶ	ይርከስ	ማርከስ	ርካሽ	be cheap	አ			i	1
ረዘመ	ይረዝማል	ረዝሞ	ይርዘም	መርዘም	ረዥም	be long, tall	አ			t	1
ረዳ	ይረዳል	ረድቶ	ይርዳ	መርዳት	ረጂ	help	ተ	ረዳህ		t	3
ረገመ	ይረገማል	ረግሞ	ይርገም	መርገም	ረጋሚ	curse	ተ			t	1
ረገበ	ይረግባል	ረግቦ	ይርገብ	መርገብ	ረጋቢ	droop, be loose	አ			i	1
ረገጠ	ይረገጣል	ረግጦ	ይርገጥ	መርገጥ	ረጋጭ	stamp, kick	ተ			t	1
ረገፈ	ይረግፋል	ረግፎ	ይርገፍ	መርገፍ	ረጋፊ	shed	አ			i	1
ረጋ	ይረጋል	ረግቶ	ይርጋ	መርጋት	ረጊ	settle down, coagulate	አ	ረጋህ		i	3
ረጠበ	ይረጥባል	ረጥቦ	ይርጠብ	መርጠብ	ርጥብ	be wet	አ			i	1
ረጠበ	ይረጥባል	ረጥቦ	ይርጠብ	መርጠብ	ርጥብ	give alms	ተ	ረጠ፟በ		t	2
ረጨ	ይረጫል	ረጭቶ	ይርጭ	መርጨት	ረጪ	sprinkle	ተ	ረጨህ		t	5
ረፈረፈ	ይረፈርፋል	ረፍርፎ	ይረፍርፍ	መረፍረፍ	ረፍራፊ	litter, strew	ተ			t	9
ረፈደ	ይረፍዳል	ነፍዶ	ይርፈድ	መርፈድ	ረፋድ	be forenoon	አ			i	1
ረፈጠ	6	6	6	6	ርፍጥ	discharge from army	ተ	ረፈ፟ጠ		t	2
ራራ	ይራራል	ራርቶ	ይራራ	መራራት	ሩህሩህ	pity, be merciful		ራህራህ		i	3h
ራሰ	ይርሳል	ርሶ	ይራስ	መራስ	ራሺ	soak, be wet	አ	ራህሰ		i	7
ራቀ	ይርቃል	ርቆ	ይራቅ	መራቅ	ራቂ	be far	አ	ራህቀ		i	7
ራበ	ይራባል	ተርቦ	ይራብ	መራብ	ራብተኛ	cause hunger, be hungry		ራህበ		imp.	7
ራደ	ይርዳል	ርዶ	ይራድ	መራድ	ራጅ	tremble (person)	አ	ራህደ		i	7
ሮጠ	ይሮጣል	ሮጦ	ይሩጥ	መሮጥ	ሯጭ	run	አ			i	8w
ሰለለ	ይሰልላል	ሰልሎ	ይሰልል	መሰለል	ሰላይ	be paralyzed	አስ			i	1f
ሰለለ	ይሰልላል	ሰልሎ	ይሰልል	መሰለል	ሰላይ	spy on	አስ	ሰለ፟ለ		t	2f
ሰለመ	ይሰልማል	ሰልሞ	ይስለም	መስለም	ሰላሚ	become a muslim	አ			i, denom	1
ሰለቀ	ይሰልቃል	ሰልቆ	ይሰልቅ	መሰለቅ	ሰላቂ	grind	ተ	ሰለ፟ቀ		t	2
ሰለበ	ይሰልባል	ሰልቦ	ይስለብ	መስለብ	ሰላቢ	castrate	ተ			t	1
ሰለቸ	ይሰለቻል	ሰልችቶ	ይሰልች	መሰልቸት	ስልቹ	be bored	አ, ተ	ሰለቸህ		t	11
ሰለጠነ	ይሰለጥናል	ሰልጥኖ	ይሰልጥን	መሰልጠን	ስልጡን	become civilized	አ			i	9
ሰላ	ይሰላል	ሰልቶ	ይስላ	መስላት	ሰይ	prosper, be sharp	አስ	ሰላህ		i	3
ሰመረ	ይሰምራል	ሰምሮ	ይስመር	መስመር	ስሙር	go well with	አ			i	1
ሰመጠ	ይሰምጣል	ሰምጦ	ይስመጥ	መስመጥ	ሰማጭ	drown	አ		ሰጠመ	i	1
ሰማ	ይሰማል	ሰምቶ	ይስማ	መስማት	ሰሚ	hear	አ, ተ	ሰማህ		t	3
ሰረረ	ይሰርራል	ሰርሮ	ይሰርር	መሰረር	ሰራይ	mount, cover	አ, ተ			i	1f
ሰረሰረ	ይሰረስራል	ሰርስሮ	ይሰርስር	መሰርሰር	ሰርሳሪ	bore through	ተ			t	9
ሰረቀ	ይሰርቃል	ሰርቆ	ይሰረቅ	መስረቅ	ሰራቂ	steal	ተ			i	1
ሰረዘ	ይሰርዛል	ሰርዞ	ይሰርዝ	መሰረዝ	ሰራዥ	delete	ተ	ሰረ፟ዘ		t	2
ሰረየ	ይሰርያል	ሰርዮ	ይሰርይ	መሰረይ	ሰራይ	cancel	ተ	ሰረ፟የ		t	2
ሰረገ	ይሰርጋል	ሰርጎ	ይስረግ	መስረግ	ሰርጓጅ	break in stealthily	አስ			i	1
ሰራ	ይሰራል	ሰርቶ	ይስራ	መስራት	ሰሪ	do, make, work	ተ	ሰራህ		t	3
ሰሰተ	ይሰስታል	ሰስቶ	ይሰስት	መሰሰት	ሰሳች	be greedy	አስ	ሰሰ፟ተ		i	2
ሰቀለ	ይሰቅላል	ሰቅሎ	ይስቀል	መስቀል	ሰቃይ	hang	ተ			t	1
ሰቀለ	ይሰቅላል	ሰቅሎ	ይስቀል	መስቀል	ሰቃይ	hang, crucify, drive a peg	ተ	ሰቀ፟ለ		t	2
ሰቀሰቀ	ይሰቀስቃል	ሰቅስቆ	ይሰቅስቅ	መሰቅሰቅ	ሰቅሳቂ	grasp, loosen in picking up	ተ			t	9
ሰቀቀ	ይሰቀቃል	ተሰቆ	ይሰቀቅ	መሰቀቅ	አሰቃቂ	cause to cringe	አስ			i	1f
ሰበረ	ይሰብራል	ሰብሮ	ይስበር	መስበር	ሰባሪ	break	ተ			t	1
ሰበሰበ	ይሰበስባል	ሰብስቦ	ይሰብስብ	መሰብሰብ	ሰብሳቢ	collect, gather	ተ			t	9
ሰበከ	ይሰብካል	ሰብኮ	ይስበክ	መስበክ	ሰባኪ	preach	ተ			t	1
ሰነቀ	ይሰንቃል	ሰንቆ	ይሰንቅ	መሰነቅ	ሰናቂ	take provisions	ተ	ሰነ፟ቀ		t	2
ሰነበተ	ይሰነብታል	ሰንብቶ	ይሰንብት	መሰንበት	ሰንባች	stay a while	አ			i	9
ሰነዘረ	ይሰነዝራል	ሰንዝሮ	ይሰንዝር	መሰንዘር	ሰንዛሪ	threaten with hands	አስ			i	9
ሰነጠረ	ይሰነጥራል	ሰንጥሮ	ይሰንጥር	መሰንጠር	ሰንጣሪ	break into splinters	ተ			t	9
ሰነጠቀ	ይሰነጥቃል	ሰንጥቆ	ይሰንጥቅ	መሰንጠቅ	ሰንጣቂ	split	ተ			t	9
ሰነፈ	ይሰንፋል	ሰንፎ	ይስነፍ	መስነፍ	ሰነፍ	be lazy	አ			i	1
ሰነፈጠ	ይሰነፍጣል	ሰንፍጦ	ይሰንፍጥ	መሰንፈጥ	ሰንፋጭ	be hot (mustard)	አስ			i, denom	9
ሰናከለ	ይሰናከላል	ተሰናክሎ	ይሰናከል	መሰናከል	አሰናካይ	hobble	ተ			t	9
ሰከረ	ይሰክራል	ሰክሮ	ይስከር	መስከር	ሰካራም	get drunk	አ			i	1
ሰካ	ይሰካል	ሰክቶ	ይሰካ	መሰካት	ሰኪ	thread, pass through 	ተ	ሰካ፟ህ		t	4
ሰወለ	6	6	6	6	6	swallow in one gulp	ተ	ሰወ፟ለ		t	2
ሰወረ	ይሰውራል	ሰውሮ	ይሰውር	መሰወር	ሰዋሪ	hide	ተ	ሰወ፟ረ		t	2
ሰዋ	ይሰዋል	ሰውቶ	ይሰዋ	መሰዋት	ሰዊ	sacrifice	ተ	ሰዋ፟ህ		t	4
ሰደበ	ይሰድባል	ሰድቦ	ይስደብ	መስደብ	ተሳዳቢ	insult	ተ			t	1
ሰደደ	ይሰደዳል	ሰድዶ	ይስደድ	መስደድ	ሰዳጅ	send	ተ			t	1f
ሰገረ	ይሰግራል	ሰግሮ	ይስገር	መስገር	ሰጋሪ	trot (mule)	አ			i	1
ሰገረ	ይሰግራል	ሰግሮ	ይስገር	መስገር	ሰጋሪ	be at a loss	ተ	ሰገ፟ረ		i, impers. 	2
ሰገሰገ	ይሰገስጋል	ሰግስጎ	ይሰግስግ	መሰግሰግ	ሰግሳጊ	have hairs attached, tease fibers	ተ			t	9
ሰገደ	ይሰግዳል	ሰግዶ	ይስገድ	መስገድ	ሰጋጅ	bow in worship	አስ			i, (cog. obj. only)	1
ሰጋ	ይሰጋል	ሰግቶ	ይስጋ	መስጋት	ሰጊ	worry, fear	አ	ሰጋህ		i	3
ሰጠ	ይሰጣል	ሰጥቶ	ይስጥ	መስጠት	ሰጪ	give	ተ	ሰጠህ		t	5
ሰጠመ	ይሰጥማል	ሰጥሞ	ይስጠም	ማስጠም	ሰጣሚ	drown			ሰመጠ	i	1
ሰፈረ	ይሰፍራል	ሰፍሮ	ይስፈር	መስፈር	ሰፋሪ	perch, measure	ተ			t	1
ሰፈነ	ይሰፍናል	ሰፍኖ	ይስፈን	መስፈን	ሰፋኝ	prevail, reign	አስ	ሰፈ፟ነ		i	2
ሰፈፈ	ይሰፍፋል	ሰፍፎ	ይሰፍፍ	መስፈፍ	ሰፋፊ	float	አ			i	1f
ሰፋ	ይሰፋል	ሰፍቶ	ይስፋ	መስፋት	ሰፊ	sew, be wide	ተ	ሰፋህ		t, i	3
ሳለ	ይስላል	ስሎ	ይሳል	መሳል	ሳይ	cough, paint, sharpen	አስ	ሳህለ		i, t, t	7
ሳለ	ይሳላል	ተስሎ	ይሳል	መሳል	ተሳይ	vow	ተ	*ሳህለ		i	7
ሳመ	ይስማል	ስሞ	ይሳም	መሳም	ሳሚ	kiss	ተ	ሳህመ		t	7
ሳሳ	ይሳሳል	ሳስቶ	ይሳሳ	መሳሳት	ሳሽ	be thin	አ	ሳህሳህ		i	3h
ሳሳ	ይሳሳል	ሳስቶ	ይሳሳ	መሳሳት	ስስታም	be greedy, insatiable	አስ	ሳህሳህ			3h
ሳቀ	ይስቃል	ስቆ	ይሳቅ	መሳቅ	ሳቂ	laugh	አስ	ሳህቀ		i	7
ሳበ	ይስባል	ስቦ	ይሳብ	መሳብ	ሳቢ	pull, draw	ተ	ሳህበ		t	7
ሳተ	ይስታል	ስቶ	ይሳት	መሳት	ሳች	miss, go astray	ተ	ሳህተ		t	7
ሴሰነ	ይሴስናል	ሴስኖ	ይሴስን	መሴሰን	ሴሰኛ	debauch	አስ	ሴሰ፟ነ		i	2
ስሰረጎደ	ይስሰረጉዳል	ስሰርጉዶ	ይስሰርጉድ	መስሰርጎድ	ስሰርጓጅ	dent, mark	ተ			t	9d
ስሰባ	ይስሰባል	ስሰብቶ	ይስስባ	መስስባት	ስሰቢ	fatten	አ	ስሰባህ		i	3
ሶለ	ይሶላል1	ሶሎ 1	ይሱል 1	መሶል 1	ሷይ 1	be a glutton		*ሾፈ			8w
ሶመሶመ	ይሶመሱማል	ሶምሱሞ	ይሶምሱም	መሶምሶም	አሶምሷሚ	trot				i	9bd
ሸለለ	ይሸልላል	ሸልሎ	ይሸልል	መሸለል	ሸላይ	chant war songs	አስ	ሸለ፟ለ		i	2f
ሸለመ	ይሸልማል	ሸልሞ	ይሸልም	መሸለም	ሸላሚ	award, decorate	ተ	ሸለ፟መ		t	2
ሸለቀቀ	ይሸለቅቃል	ሸልቅቆ	ይሸልቅቅ	መሸልቀቅ	ሸልቃቂ	husk	ተ			t	9
ሸለተ	ይሸልታል	ሸልቶ	ይሸልት	መሸለት	ሸላች	shear	ተ	ሸለ፟ተ		t	2
