# Amharic Name	FULL_NAME	FULL_NAME_ND
	Adad	Adad
	Adad	Adad
አዳዲ	Adadi	Adadi
	Ādada	Adada
	Ādada	Adada
	Ādada Be‘ale Weld Bēte Kristīyan	Adada Be`ale Weld Bete Kristiyan
	Adada	Adada
	Ādada Bota	Adada Bota
	Adadale	Adadale
	Ādada Shet’	Adada Shet'
	Adad Dader	Adad Dader
	Ādadēra Shet’	Adadera Shet'
	Ādadēra Shet’	Adadera Shet'
አዳዲ	Ādadī	Adadi
	Ādadī	Adadi
አዳዲ (2)	Ādadī (2)	Adadi (2)
	Ādadī	Adadi
	Ādadī	Adadi
	Ādadī	Adadi
	Ādadī	Adadi
	Ādadī	Adadi
	Ādadī Ārarē	Adadi Arare
አዳዲ ማርያም ቤተክትስቲያን	Ādadī Maryam Bēte Kristīyan	Adadi Maryam Bete Kristiyan
	Adadesanchè	Adadesanche
	Adadi Sanche	Adadi Sanche
	Ādadī Shet’	Adadi Shet'
	Ādadīyo Bīre	Adadiyo Bire
	Adadle	Adadle
	Ādado	Adado
	Ada Ela	Ada Ela
	Ad Ela	Ad Ela
	Adaela	Adaela
	Ad Aguori	Ad Aguori
	Ādahunat	Adahunat
	Adai	Adai
	Amba Adai	Amba Adai
	Adaito Ela	Adaito Ela
	Ādal	Adal
	Adaleh	Adaleh
	Adadale	Adadale
	Adali	Adali
አዳማ	Ādama	Adama
	Ādama	Adama
	Ādama	Adama
	Ādama	Adama
	Barigo	Barigo
አዳሜ	Ādamē	Adame
	Ādamē	Adame
	Ādamī	Adami
	Ademi	Ademi
	Ādamī	Adami
	Ādamī	Adami
	Ādamī Gebeya	Adami Gebeya
	Ādamī Kurē	Adami Kure
	Ādamī Shet’	Adami Shet'
	Ādamī Tereter	Adami Tereter
አዳሜቱሉ	Adamitullo	Adamitullo
አዳሜቱሉ	Ādamī Tulu	Adami Tulu
	Addamitullu	Addamitullu
	Adamogne	Adamogne
	Ādam Terē	Adam Tere
	Logia	Logia
	Loja	Loja
	Adanaccio	Adanaccio
	Ādaneba Shet’	Adaneba Shet'
	Ādanewī Shet’	Adanewi Shet'
	Adan Goriado	Adan Goriado
	Ādara	Adara
	Ad Arisc	Ad Arisc
	A. Arits	A. Arits
	Ādash	Adash
	Ādasha	Adasha
	Ādata	Adata
	Ādata Shet’	Adata Shet'
አዳውሮ	Ādawro	Adawro
	Ādbegidu Bota	Adbegidu Bota
	Adbidora	Adbidora
	Adbidora	Adbidora
	Ad Cocob	Ad Cocob
	Addadi	Addadi
	Addagliali	Addagliali
	Haddagliali	Haddagliali
	Adda Hinga	Adda Hinga
	Monti Addaale	Monti Addaale
	Addale	Addale
	Monti Addale	Monti Addale
አዳማ	Addama	Addama
	Haddama	Haddama
	Adda Marmariti	Adda Marmariti
	Adda Marmariti	Adda Marmariti
	Addao	Addao
	Addeche	Addeche
	Addi Cimnu	Addi Cimnu
አዲ ቆሎ	Addi Colo	Addi Colo
	Adi Colò	Adi Colo
	Addi Culcul	Addi Culcul
	Addi Dacno	Addi Dacno
	Addi Felassie	Addi Felassie
	Addi Gidad	Addi Gidad
	Addi Inalca	Addi Inalca
	Addilnalca	Addilnalca
	Addi Micael	Addi Micael
	Addi Micail	Addi Micail
	Addi Onfato	Addi Onfato
	Addi Onfito	Addi Onfito
	Addisc Addi	Addisc Addi
	Addi Scium	Addi Scium
	Addodas	Addodas
	Addodas	Addodas
	Ade	Ade
	Āde’ādu Shet’	Ade'adu Shet'
አደባባይ	Ādebabay	Adebabay
አዳባ	Adada	Adada
አደባ	Ādeda	Adeda
አደፍ	Adef	Adef
	Ādegol P’awlos Bēte Kristīyan	Adegol P'awlos Bete Kristiyan
	Ādegol P’awlos Bēte Kiristyan	Adegol P'awlos Bete Kiristyan
	Ādeguya Medhanē ‘Alem Bēte	Adeguya Medhane `Alem Bete
	Ādeha	Adeha
እደሃ አርባቱ እንስሳት ቤተ ክርስቲያን	Ādeha Ārba‘itu Insisat Bēte Kristīyan	Adeha Arba`itu Insisat Bete Kristiyan
	Ādela Shet’	Adela Shet'
	Ādēlē	Adele
	Ādēlē	Adele
	Ādēlē Gomboro	Adele Gomboro
	Ādēlē Shet’	Adele Shet'
	Ādēlē Silasē Bēte Kristīyan	Adele Silase Bete Kristiyan
	Ādēlē Umuro	Adele Umuro
	Gogetti	Gogetti
	Goggetti	Goggetti
	Gwogetti	Gwogetti
	Ādelgē	Adelge
	Ādelgē YeTerara Ch’af	Adelge YeTerara Ch'af
	Adeli	Adeli
	Adellet	Adellet
	Ādem	Adem
አደም አብዲ	Ādem Ābdī	Adem Abdi
	Ādemāboi	Ademaboi
	Ademaboy	Ademaboy
አደም አብዱላ	Ādem Ābdulē	Adem Abdule
	Ādema Īyasu	Adema Iyasu
አደመ	Ādemē	Ademe
አደመ ጊዮርጊስ በተ ክርስቲያን	Ādemē Gīyorgīs Bēte Kristīyan	Ademe Giyorgis Bete Kristiyan
	Ademesso	Ademesso
	Ādem Gadī Burk’a Terara	Adem Gadi Burk'a Terara
	Ādem Lega	Adem Lega
	Gara Adamò	Gara Adamo
	Ādemu Terara	Ademu Terara
	Ādem Yonīs	Adem Yonis
	Adem-Ionis	Adem-Ionis
	Ādengwar	Adengwar
	Addin Liba	Addin Liba
	Aden Libah	Aden Libah
	Aden Lida	Aden Lida
	Adenna	Adenna
	Adenna	Adenna
	Adeno	Adeno
	Monte Adeno	Monte Adeno
	Ādera	Adera
	Aderbo	Aderbo
	Monte Aderbo	Monte Aderbo
አደሬ	Āderē	Adere
	Āderē	Adere
	Āderē	Adere
	Āderē	Adere
	Āderē	Adere
	Āderē	Adere
	Ādereka	Adereka
	Āderē Shet’	Adere Shet'
	Āderē	Adere
	Āderē Shet’	Adere Shet'
	Āderē Wama	Adere Wama
	Aderseg	Aderseg
	Ādēsa	Adesa
	Ādēsa Shet’	Adesa Shet'
	Adeseb	Adeseb
	Ādesta	Adesta
	Adi Gul Biscia	Adi Gul Biscia
	Adi Gul Biscia Gundi	Adi Gul Biscia Gundi
	Ādēt	Adet
	Addiet	Addiet
	Addiet Canna	Addiet Canna
	Ādēt	Adet
	Ādeyle	Adeyle
	Ādeyle (1)	Adeyle (1)
	Ādeyle	Adeyle
	Ādeyle (2)	Adeyle (2)
	Sardo	Sardo
አደሌ	Adele	Adele
አደሌ ሐይቅ	Lake Adele	Lake Adele
	Ādeyle Hāyk’	Adeyle Hayk'
	Adeyle-Khayk	Adeyle-Khayk
	Adele	Adele
	Ādēylē YeBabur T’abīya	Adeyle YeBabur T'abiya
	Ādēylē Babur T’abīya	Adeyle Babur T'abiya
	Ādēylē	Adeyle
	Ādey Shet’	Adey Shet'
	Ādey Shet’	Adey Shet'
	Ādeyuto Bota	Adeyuto Bota
	Ādeyuto Mēda	Adeyuto Meda
	Ādeza	Adeza
	Ad Garab Sadiai	Ad Garab Sadiai
	Ādgēlo Shet’	Adgelo Shet'
አዲ	Ādī	Adi
	Ādi	Adi
አዲ ተራራ	Mount Adi	Mount Adi
	Ādī	Adi
	Ādī Āba Jebano	Adi Aba Jebano
አዲ አባ ሙሳ	Ādī Āba Musa	Adi Aba Musa
