#Amharic Name	Latin Transcription	ASCII Transcription
ተአምራት ይገዙ /ኰሎኔል/	Tammerat Yeggazu	Tamerat Yegezu
ተከስተ ብርሃን ወልደ ኢየሱስ	Täkästä-Berhan Wäldä-Iyäsus	Tekeste Birhan Wolde Eyesus
ተከስተ አብርሃም	Täkästä Abrham	Tekeste Abrham
ተካ ዛሬ	Täkka Zaré	Teka Zare
ተክለሐዋርያት /በጅሮንድ/	Täklä-Hawaryat	Tekle Hawariat
ተክለማርያም /አባ/	Täklämaryam	Teklemariam
ተክለማርያም ኃይሌ	Täklämaryam Haylé	Teklemariam Haile
ተክለማርያም ጽዮን	Täklä-Maryam Seyon	Tekle-Mariam Tsion
ተክለማርያም ገዛኸኝ	Täklä-Maryam Gäzzahäň	Teklemariam Gezaghn
ተክለማርያም ፋንታዬ	Täkämaryam Fantayé	Teklemariam Fantaye
ተክለብርሃን ዜና	Täklä-Berhan Zéna	Tekleberhan Zena
ተክለ ኃይማኖት መንግሥተ አብ	Täklä-Haymanot Mängestä-Ab	Tekle Haimanot Mengeste-Ab
ተክለ ጻድቅ መኩሪያ	Täklä-Sadeq Mäkuriya	Tekle-Tsadik Mekuria
ተኽላይ ዘወልዴ	Tählay Zäwäldé	Teklaye Zewolde
ተወልደ መድኅን ዮሴፍ /አባ/	Täwäldä-Mädhen Yoséf	Tewolde Medhin Yoseph
ተወልደ መድኅን ገብሩ	Täwäldä-Mädhen Gäbru	Tewolde Medhin Gebru 
ተወልደ ብርሃን /መምህር/	Täwäldä-Berhan	Tewoldeberhan
ተውህቦ ምሕረት	Täwhebo Mehrät	Tewhbo Mehret
ተገኝ ተአምሩ	Tägäň Tameru	Tegne Teamru
ተጫነ አበበ	Täčanä Abbäbä	Techane Abebe
ተፈሪ ደፈረሱ	Täfäri Däfärräsu	Teferi Deferesu
ተፈራ በዬነ	Täfärra Bäyyänä	Teferra Beyene
ተፈራ ወልደ አማኑኤል	Täfärra-wäldä-Amanuél	Teferi Wolde Amanuel
ተፈራ ወርቅ አምባዬ	Täfara-Wärq Ambayé	Teferra-Worke Ambaye
ተፈራ ወንድምአገኘሁ	Täfärra Wändmmagäňähu	Teferra Wendemeagnehu
ተፈራ ይኼይስ	Täfärra Yehéyyes	Teferra Yeheyes
ተፈራ ደመና	Täfärra Dämmäna	Teferra Demene
ታምሩ መኰንን	Tameru Mäkwännen	Tameru Mekonnen
ታምራት መንገሻ	Tamrat Mängäša	Tamerat Mengesha
ታምራት አማኑኤል /ፕሮፌሰር/	Tamrat Amanuél	Tamerat Amanuel
ታምራት ያኔ	Tamrat Yanné	Tamerat Yani
ታምራት ዳሹ	Tamrat Dašu	Tamerat Dashu
ታረቀ ንጉሴ	Tärräqä Negusé	Tareke Negussie
ታረቀኝ ዓለሙ	Tarräqäń Alämu	Tarekgne Alemu
ታሲሳ ኤባ	Tasisa Eba	Tasissa Ebba
ታዬ ገብረማርያም	Tayé Gäbrä-Maryam	Taye Gebremariam
ታደለ አለነ	Taddälä Allänä	Taddele Alene 
ታደለ ደሴ	Taddälä Däsé	Taddele Dessie
ታደሰ ሊበን	Taddäsä Libän	Taddese Liben
ታደሰ ሜጫ	Taddäsä Méčča	Taddese Mecha
ታደሰ ብዙነህ	Taddäsä Bezunäh	Taddese Bezuneh
ታደሰ አብዲ	Taddäsä Abdi	Taddese Abdi
ታደሰ እማኙ	Taddäsä Emmaňu	Taddese Emagnu
ታደሰ ወልደ ዮሐንስ	Taddäsä Waldä-Yohannes	Taddese Wolde Yohannes
ታደሰ ወርቁ	Taddäsä Wärqu	Taddese Worku
ታደሰ ዘወልዴ	Taddäsä Zäwälde	Taddese Zewoldie
ታጀበ በየነ	Tajjäbä Bäyyänä	Tajebe Beyene
ቴዎድሮስ መለሰ	Tewodros Mälläsä	Tewodros Melless
ትምህርት ወዳጅ	Temehert Wädaj	Temhret Wedage
ትዛዙ ሙሉጌታ	Tezazu Mulugeta	Tezazu Mulugetta
ትእዛዙ ኃይሉ	Tezazu Haylu	Tezazu Hailu
ቸርነት ቢሰውር	Čärnnät Bisäwwer	Cherinet Bisewere
ኃይለ መለኮት ክዳ.ም.የኖ	Hayle-Mäläkot	Haile Melekot
ኃይለ መስቀል ገብረመድኅን	Haile Mäsqäl Gabrä-mädhen	Haile Meskel Gabremedhin
ኃይለ ሥላሴ ቀዳማዊ፣ ንጉሠ ነገሥት ዘኢትዮጵያ	Haile Sellassie I (Qädamawy)	Haile Selassie (Kedamawe)
ኃይለ ሥላሴ ደስታ	Hayle-Sellasé Dästa	Haile Selassie Desta
ኃይለ ኢየሱስ ፈቃዱ	Hayla-Iyasus Fäqadu	Haile Yesus Fecadu
ኃይለ ገብርኤል ነገሮ	Haylä-Gabrél Nägäro	Haile Gabriel Negero
ኃይሉ ለውጤ	Haylu Läweté	Hailu Leweté
ኃይሉ ልመንህ	Haylu Lemäneh	Haylu Lemeneh
ኃይሉ በላይነህ /ግራዝማች/	Haylu Bälaynäh	Hailu Belayneh
ኃይሉ ብርሃነ	Haylu Berhan	Hailu Berhan
ኃይሉ ቸርነት	Haylu Čarennät	Hailu Chernete 
ኃይሉ ወልደ አማኑኤል	Haylu Wäldä Amanuel	Hailu Wolde Amanuel
ኃይሌ ቀለታ	Haylé Qäläta	Haile Keletta
ኅሩይ ወልደ ሥላሴ /ብላቴን ጌታ/	Heruy Wäldä-Sellasé	Herui Woldie Selassie
ነመራ ጫላ	Nämära Čala	Nemera Challa
ነብየ ልዑል ዮሐንስ	Näbeyya-Leul Yohannes	Nebeye Leul Yohanese
ነብያት ተፈሪ	Näbyat Täfäri	Nebeyate Tefferi
ነገደ ገብረአብ	Nágädä Gäbrab	Negede Gebreab
ነጋሽ መሸሻ	Nägaš Mäšaša	Negash Meshesha
ነጋሽ ገብረ ማርያም	Nägaš Gabrä-Maryam	Negash Gebre Mariam
ነጋሽ ተገኝ	Näggaš Tägäň	Negash Tegne
ኒኮላስ /ግሪክ ኦርቶዶክስ የአክሱም/	Nicolas, Archbishop (of Aksum)	Nicolas, Archbishop of Aksum	Non-Ethiopian
ንጉሤ ተፈራ	Negusé Täfärra	Negussie Teferra
ንጉሤ ኃብተ ሚካኤል	Negusé Habtä-Mikael	Negussie Habte Michael
ንጉሤ ወልደ ሚካኤል	Negusé Wäldä-Mikael	Negussie Wolde Michael
አ.አ. ምስካየ ኅዙናን መድኃኒዓለም ቤተ ክርስቲያን	Addis Ababa Meskayä Hezunan Madhanéalem Bétä Krestiyan	Addis Ababa Meskaye Hezunane Medhanealem Bete Krestiyan
አ.አ. ቅዱስ ጳውሎስ ስዋሰው ብርሃን ት/ቤት	Addis Ababa Qeddus Pawlos Säwasewä Berhan Temehert Bét	Addis Ababa Kedus Pawelos Sewasew Berhane Temhert Bet
አ.አ. ብርሃንና ሰላም ማተሚያ ቤት	Addis Ababa Berhanénna Sälam Mattämiya Bét	Addis Ababa Berhanena Selam Matemiya Bet
አ.አ. ተፈሪ መኰንን ት/ቤት	Addis Ababa Täfäri Makwannen Temehert Bét	Addis Ababa Teferi Mekonnen Temhret Bet
አ.አ. አስፋው ወሰን ት/ቤት	Addis Ababa Asfaw-Wäsän Temehert Bét	Addis Ababa Asfaw Wossen Temehret Bet
አ.አ. የትግራይ ልማት ድርጅት	Addis Ababa Yätegray Lemat Derejjet	Addis Ababa Yetigraye Lemat Derijet
አ.አ. ደጃዝማች ወንድይራድ ት/ቤት	Addis Ababa Däjjazmačh Wand-Yerad Temehert Bét	Addis Ababa Dejazemach Wendyerad Temehret Bet
አለባቸው ወንድ ይራድ	Alläbbačäw Wand-Yerad	Alebachew Wond-Yerad
አሉላ ሰይፉ	Alula Säyfu	Alula Seifu
አሉላ ዋሴ	Alula Wasé	Alula Wassie
አላዮ ጉርሙ	Alayyu Gurmu	Alayu Guremu
አልማዝ እሸቴ	Almaz Ešate	Almaz Eshete
አልጋነሽ ወልደ ቂርቆስ	Alganäš Wäldä-Qirqos	Algganesh Wolde Kirkos
አሐዱ ሳብሬ	Ahadu Saburé	Ahadu Sabure 
አማረ ማሞ	Amarä Mammo	Amare Mamo
